ID,Nome,Rarita,Livello base,Drop rate,Starter deck,Solo admin,Solo evocabile,Tratti,NW,NE,E,SE,SW,W,Somma,Abilita (testo del foglio),Chiave abilita,Programmata,Sblocco al livello,Trigger
#014,12 Dancing Princesses,common,4,65,,,,Princess,3,2,2,1,1,3,12,Dancing Around,dancing_around,si,2,Conquest
#044,Aladdin,mythic,4,10,,,,Explorer / Chaotic,2,7,5,5,5,2,26,Sleight of Hand,sleight_of_hand,si,1,On Play
#045,Ali Baba,rare,4,22,,,,Artisan,5,5,1,3,3,3,20,"Open, Celery!",open_celery,si,1,On Play
#004,Alice,timeless,4,3,,,,Explorer / Small,5,9,9,3,3,5,34,"Eat Me, Drink Me",eat_me_drink_me,si,1,Passive
#064,Ant,common,4,65,3,,,Artisan,1,2,2,2,3,1,11,,,,1,None
#000,Baba Yaga,common,4,65,,,,Magical,2,2,2,3,1,1,11,Hex,hex,si,2,Reaction
#054,Bagheera,mythic,4,10,,,,Guardian / Wild,5,5,3,3,7,5,28,Back off,bagheera,NO,1,Synergy
#007,Baloo,mythic,4,10,1,,,Guardian / Wild,4,6,6,6,2,4,28,Bear Necessities,bear_necessities,si,1,Synergy
#098,Banshee,common,4,65,3,,,Chaotic,2,3,3,1,2,2,13,,,,1,None
#078,Big Bad Wolf,mythic,4,10,2,,,Trickster / Cruel,7,7,4,4,2,2,26,Hunger Bites,hunger_bites,si,1,Conquest
#056,Captain Hook,mythic,4,10,,,,Explorer / Cruel,3,3,7,5,5,3,26,Tic Toc,tic_toc,si,1,Passive
#057,Carabosse,timeless,4,3,,,,Trickster / Cruel,6,6,7,7,5,5,36,Evilest Curse,carabosse,NO,1,End of Turn
#141,Centaur,common,4,65,1,,,Wild,1,2,2,3,3,1,12,,,,1,None
#037,Cheshire Cat,timeless,4,3,,,,Trickster / Magical,5,7,7,3,3,5,30,Different Reality,different_reality,si,1,Passive
#108,Chimera,common,4,65,1,,,Wild,1,1,4,4,4,1,15,,,,1,None
#142,Chupacabra,common,4,65,,,,Cruel,3,1,1,1,4,4,14,,,,1,None
#028,Cinderella,mythic,4,10,,,,Artisan / Noble,3,3,5,5,6,6,28,Bell of the Ball,bell_of_the_ball,si,1,On Play
#041,Cowardly Lion,rare,4,22,2,,,Explorer / Magical,3,3,3,5,5,5,24,Scaredy cat,scaredy_cat,si,1,Conquest
#060,Crow,common,4,65,3,,,Small,4,1,1,1,1,4,12,,,,1,None
#104,Cyclop,common,4,65,,,,Chaotic,3,1,1,1,3,3,12,,,,1,None
#038,Dorothy Gale,timeless,4,3,,,,Explorer,6,6,8,5,5,5,35,Yellow Brick Road,dorothygale,NO,1,Synergy
#105,Dragon,common,4,65,,,,Magical,3,3,1,1,4,4,16,,,,1,None
#138,Dryad,common,4,65,1,,,Wild,1,3,3,2,2,2,13,,,,1,None
#143,Excalibur,timeless,4,0,,,Yes,,0,0,0,0,0,0,0,Immovable,immovable,si,1,Passive
#059,Fox,common,4,65,1-2-3,,,Wild,3,3,1,1,3,3,14,,,,1,None
#015,Frog Prince,rare,4,22,3,,,Sovereign / Magical,3,3,1,1,4,4,16,Kiss,kiss,si,1,On Play
#125,Gargoyle,common,4,65,,,,Guardian,1,1,4,4,4,1,15,,,,1,None
#106,Goblin,common,4,65,2,,,Cruel,3,1,1,2,3,3,13,,,,1,None
#065,Grasshopper,common,4,65,3,,,Princess,2,1,1,1,4,2,11,,,,1,None
#107,Griffin,common,4,65,,,,Noble,3,3,2,2,3,3,16,,,,1,None
#058,Hare,common,4,65,1-3,,,Wild,1,2,2,3,3,1,12,,,,1,None
#137,Hippogriff,common,4,65,,,,Wild,5,5,1,1,1,3,16,,,,1,None
#109,Imp,common,4,65,,,,Chaotic,4,2,2,2,2,1,13,,,,1,None
#080,Jack and the Beanstalk,rare,4,22,,,,Explorer / Small,4,4,3,3,2,2,18,,,,1,Passive
#130,Kappa,common,4,65,,,,Trickster,2,2,5,1,1,2,13,,,,1,None
#023,King Arthur,timeless,4,3,,,,Sovereign / Noble,5,5,5,9,9,4,37,Excalibur!,excalibur,si,1,On Play
#129,Kitsune,common,4,65,2-3,,,Magical,2,2,1,3,3,2,13,,,,1,None
#030,Lancelot,rare,4,22,,,,Guardian / Noble,4,4,2,2,7,4,23,Loyalty,loyalty,si,1,Synergy
#127,Leprechaun,common,4,65,2,,,Magical,2,2,2,3,1,2,12,,,,1,None
#061,Lion,common,4,65,1,,,Wild,1,3,3,3,2,2,14,,,,1,None
#029,Little John,mythic,4,10,,,,Guardian / Wild,4,4,5,5,6,4,28,Brother in Arms,littlejohn,NO,1,Synergy
#016,Little Mermaid,mythic,4,10,3,,,Princess / Wild,4,6,6,6,4,4,30,...,mermaid_discard,si,1,On Play
#019,Little Red Riding Hood,timeless,4,3,,,,Explorer / Small,4,4,6,6,6,3,29,Fearless,fearless,si,1,Reaction
#035,Mad Hatter,mythic,4,10,,,,Trickster / Chaotic,6,6,6,1,4,4,27,Have I Gone Mad?,have_i_gone_mad,si,1,On Play
#008,Magic Mirror,rare,4,22,,,,Magical,4,1,1,1,4,4,15,Spitting Image,magic_mirror,si,1,On Play
#027,Maid Marian,rare,4,22,,,,Princess / Noble,2,2,4,4,3,3,18,Power of Love,power_of_love,si,1,Synergy
#139,Manticore,common,4,65,2,,,Cruel,1,3,3,3,3,1,14,,,,1,None
#033,March Hare,rare,4,22,1,,,Wild,4,2,2,5,4,4,21,Tea-Time Frenzy,swap_values,si,1,On Play
#003,Merlin,mythic,4,10,,,,Trickster / Magical,5,5,5,3,3,3,24,A Kind of Magic,a_kind_of_magic,si,1,Passive
#126,Mordred,mythic,4,10,,,,Trickster / Cruel,3,4,4,4,6,3,24,Kingslayer,kingslayer,si,1,On Play
#032,Morgana,mythic,4,10,,,,Trickster / Magical,4,4,6,6,1,4,25,Smoke and Mirrors,smoke_and_mirrors,si,1,Reaction
#062,Mouse,common,4,65,3,,,Small,1,1,3,3,2,2,12,,,,1,None
#026,Nottingham Sheriff,mythic,4,10,,,,Guardian / Cruel,8,3,3,3,5,5,27,New Tax,new_tax,si,1,On Play
#140,Nymph,common,4,65,,,,Guardian,1,2,2,4,4,1,14,,,,1,None
#114,Ogre,common,4,65,,,,Chaotic,4,4,1,2,2,2,15,,,,1,None
#133,Oni,common,4,65,,,,Chaotic,3,4,4,1,1,3,16,,,,1,None
#051,Peter Pan,timeless,4,3,,,,Explorer / Small,8,7,5,5,5,5,35,Flight Perks,peterpan,NO,1,Passive
#136,Phoenix,common,4,65,,,,Magical,1,1,6,2,1,1,12,Rise from the Ashes,rise_from_the_ashes,si,2,Reaction
#025,Pied Piper,rare,4,22,,,,Trickster / Wild,4,4,2,2,6,4,22,Follow the music,piedpiper,NO,1,On Play
#005,Pinocchio,mythic,4,10,,,,Explorer / Magical,6,3,3,3,2,6,23,True Story,true_story,si,1,End of Turn
#102,Pixies,common,4,65,,,,Trickster,1,3,2,2,2,1,11,Mischief,mischief,si,2,Synergy
#012,Princess and the Pea,rare,4,22,,,,Princess / Noble,4,4,3,3,3,1,18,Bothered,bothered,si,1,Synergy
#036,Queen of Hearts,mythic,4,10,,,,Sovereign / Cruel,3,3,4,4,6,3,23,Off With the Head!,off_with_the_head,si,1,Conquest
#013,Rapunzel,mythic,4,10,,,,Princess / Noble,7,7,1,1,5,5,26,Braaaaaaaids,braids,si,1,On Play
#001,Robin Hood,timeless,4,3,,,,Trickster / Noble,4,4,12,4,4,4,32,Eat the Rich,eat_the_rich,si,1,On Play
#115,Roc,common,4,65,1-2,,,Noble,1,1,5,2,2,2,13,,,,1,None
#018,Rumpelstiltskin,rare,4,22,2,,,Chaotic,2,4,4,5,2,2,19,Give me that,give_me_that,si,1,On Play
#022,Sea Witch,mythic,4,10,,,,Trickster / Magical,5,2,6,6,5,5,29,Dark Pact,dark_pact,si,1,On Play
#009,Seven Dwarves,rare,4,22,,,,Artisan / Small,7,3,3,3,3,3,22,Heigh-Ho,heigh_ho,si,1,On Play
#006,Shere Khan,timeless,4,3,,,,Sovereign / Cruel,6,6,10,4,6,6,38,Apex Predator,apex_predator,si,1,Passive
#010,Sleeping Beauty,mythic,4,10,,,,Princess / Noble,4,4,5,5,5,4,27,Power Nap,power_nap,si,1,Passive
#002,Snow White,mythic,4,10,,,,Princess / Noble,6,4,4,3,3,6,26,Smol Friends,smol_friends,si,1,Synergy
#090,Strigoi,common,4,65,,,,Cruel,3,2,2,1,1,3,12,Nightmare,nightmare,si,3,Reaction
#132,Tengu,common,4,65,,,,Guardian,4,1,1,2,2,4,14,,,,1,None
#084,The Caterpillar,rare,4,22,,,,Trickster / Chaotic,3,1,1,5,5,3,18,"""Exaketededly""",exaketededly,si,2,On Play
#149,The Crystal Princess,mythic,4,0,,,Yes,Princess / Noble,7,7,5,5,5,5,34,Crowned,crowned,si,1,Passive
#047,The Genie,timeless,4,3,,,,Magical,6,6,7,7,4,4,34,Everyone Gets a Wish,everyone_gets_a_wish,si,1,End of Turn
#144,The Green Prince,rare,4,0,,,Yes,Sovereign / Noble,5,5,3,3,6,6,28,,,,1,None
#063,Tortoise,common,4,65,1,,,Wild,1,5,2,1,1,1,11,,,,1,None
#101,Troll,common,4,65,,,,Guardian,3,2,2,2,2,4,15,,,,1,None
#135,Unicorn,common,4,0.15,,,,Magical,1,3,3,3,7,1,18,Unicorn Hunt,unicorn_hunt,si,1,On Play
#134,Wendigo,common,4,65,2,,,Cruel,2,2,4,4,1,1,14,,,,1,None
#034,White Rabbit,rare,4,22,,,,Guardian / Wild,3,3,3,3,1,1,14,Rush Hour,rush_hour,si,2,Passive
